url_length,has_https,has_at_symbol,has_hyphen,suspicious_word,has_ip,dot_count,digit_count,special_char_count,is_shortened,slash_count,domain_length,label
23,0,0,1,0,0,2,0,0,0,0,23,1
38,0,0,1,0,0,2,0,0,0,1,22,0
13,0,0,0,0,0,1,4,0,1,1,6,1
24,0,0,0,0,0,1,2,0,0,1,16,1
102,0,0,1,0,0,2,8,0,0,5,11,0
69,0,0,0,0,0,4,12,6,0,1,12,0
43,0,0,1,0,0,2,6,0,0,5,15,0
28,0,0,0,0,0,2,0,0,0,2,15,0
21,0,0,0,0,0,2,2,0,0,1,20,1
40,0,0,1,0,0,1,9,0,0,3,12,0
42,0,0,0,0,0,3,0,0,0,1,26,1
64,0,0,1,0,0,3,4,2,0,3,19,0
10,0,0,0,0,0,1,0,0,0,1,9,0
158,0,0,1,1,0,5,42,8,0,3,19,1
40,0,0,0,1,0,2,0,0,0,2,22,1
40,0,0,0,0,0,2,19,0,0,3,18,1
63,0,0,0,0,0,3,2,5,0,2,16,0
36,0,0,0,0,0,1,2,2,0,4,14,1
30,0,0,0,0,0,1,0,0,0,1,12,0
28,0,0,0,0,0,1,5,0,0,1,14,1
48,0,0,1,0,0,2,0,0,0,5,18,0
50,0,0,1,0,0,1,17,0,0,3,12,1
45,0,0,0,1,0,2,1,0,0,3,16,1
24,0,0,0,0,0,1,3,2,0,1,17,0
50,0,0,1,0,0,2,3,0,0,4,17,1
22,0,0,0,0,0,2,1,0,0,1,21,1
13,0,0,0,0,0,1,0,0,0,2,10,1
44,0,0,0,0,0,3,7,2,0,3,18,0
118,0,0,1,0,0,3,6,0,1,4,15,0
57,0,0,1,0,0,1,7,0,0,3,18,0
33,0,0,1,0,0,1,0,0,0,4,15,1
48,0,0,0,0,1,4,11,1,0,3,14,1
28,0,0,0,0,0,2,0,0,0,1,27,0
17,0,0,0,0,0,2,0,0,0,1,16,1
27,0,0,1,0,0,2,1,0,1,1,26,1
26,0,0,0,0,0,3,0,0,0,1,25,1
14,0,0,1,0,0,1,0,0,0,1,13,1
43,0,0,0,0,0,1,0,4,0,2,17,0
14,0,0,0,0,0,1,1,0,0,1,9,1
27,0,0,0,0,0,2,0,0,1,1,26,0
50,0,0,0,0,0,2,0,3,0,2,16,0
34,0,0,1,0,0,1,0,0,0,2,14,0
130,0,0,1,1,0,8,1,6,0,4,40,1
28,0,0,0,0,0,2,0,0,0,1,27,0
15,0,0,0,0,0,1,0,0,0,1,14,0
31,0,0,0,0,0,1,0,2,0,1,11,0
76,0,0,1,0,0,3,2,1,0,4,23,1
87,0,0,1,1,0,6,0,0,0,7,22,1
90,0,0,1,1,0,6,2,5,0,8,16,1
26,0,0,1,0,0,1,0,0,0,2,9,0
36,0,0,0,0,0,2,0,0,0,2,15,0
13,0,0,0,0,0,1,0,0,0,1,12,1
48,0,0,1,0,0,2,0,0,0,1,27,1
25,0,0,0,0,0,1,1,0,0,1,17,1
11,0,0,0,0,0,1,0,0,0,1,10,0
47,0,0,1,0,0,2,0,3,0,3,14,0
53,0,0,0,0,0,2,8,4,0,1,10,0
155,0,0,1,1,0,9,66,0,0,4,83,1
41,0,0,0,0,0,2,0,1,0,2,26,0
132,0,0,1,0,0,11,8,6,0,3,84,1
286,0,0,1,1,0,13,62,18,0,5,22,1
52,0,0,1,0,0,2,2,0,0,3,20,0
63,0,0,0,0,0,2,0,0,0,3,12,1
72,0,0,0,0,0,2,0,2,0,3,17,0
18,0,0,1,0,0,1,0,0,0,1,17,1
74,0,0,0,0,0,3,1,1,0,6,18,1
24,0,0,0,0,0,2,0,0,0,1,20,0
39,0,0,0,0,1,5,16,1,0,2,13,1
28,0,0,0,0,0,1,0,0,1,1,14,0
41,0,0,1,0,0,2,1,0,0,2,8,0
107,0,0,0,0,0,2,22,4,0,2,11,1
87,0,0,1,0,0,2,21,2,0,4,10,0
86,0,0,1,0,0,2,17,2,0,3,19,0
17,0,0,0,0,0,1,0,0,0,1,16,0
35,0,0,1,0,0,2,2,1,0,2,21,1
44,0,0,0,0,0,1,10,0,0,4,10,0
25,0,0,0,0,0,1,0,0,0,2,21,0
34,0,0,0,0,0,1,12,0,0,2,16,0
70,0,0,0,0,0,2,0,5,0,2,16,0
37,0,0,0,0,0,3,0,0,0,1,22,0
38,0,0,1,0,0,2,0,0,0,5,12,1
45,0,0,0,0,0,4,6,0,0,2,17,1
43,0,0,0,0,0,2,0,2,0,2,10,0
40,0,0,0,0,0,3,0,1,0,2,15,0
53,0,0,0,0,0,1,2,1,0,4,14,1
33,0,0,0,0,0,1,0,0,0,3,11,0
57,0,0,0,0,0,2,2,1,0,5,17,1
144,0,0,1,0,0,1,0,0,0,2,27,0
77,0,0,1,0,0,5,5,3,0,7,13,1
23,0,0,0,0,0,1,0,0,0,3,7,0
33,0,0,0,0,0,1,0,0,0,2,26,0
58,0,0,1,0,0,2,0,1,0,3,31,1
65,0,0,0,1,0,4,24,0,0,2,21,1
28,0,0,0,0,0,2,0,0,0,3,16,1
22,0,0,0,0,0,1,0,0,0,3,9,1
23,0,0,1,0,0,1,1,0,0,1,17,1
62,0,0,0,0,0,3,3,0,0,6,16,1
44,0,0,1,1,1,4,9,3,0,3,12,1
26,0,0,0,0,0,1,1,0,0,1,19,1
40,0,0,1,0,0,2,0,0,0,1,18,0
118,0,0,0,0,0,3,27,11,0,2,17,1
31,0,0,0,0,0,1,1,1,0,3,14,1
48,0,0,0,0,0,4,1,2,0,5,14,1
21,0,0,0,0,0,1,0,0,0,1,20,0
125,0,0,0,1,0,6,28,6,0,1,38,1
43,0,0,0,0,0,3,4,3,0,1,14,0
20,0,0,0,0,0,1,0,0,0,2,16,1
142,0,0,1,0,0,2,61,0,0,8,17,1
39,0,0,0,0,0,1,1,0,0,5,12,0
42,0,0,0,0,0,2,0,0,0,3,14,1
37,0,0,0,0,0,1,0,0,0,2,13,0
45,0,0,0,0,0,1,0,0,0,4,13,0
298,0,0,1,1,0,16,72,17,0,6,36,1
21,0,0,0,0,0,1,0,0,0,3,8,1
98,0,0,1,0,0,1,10,0,1,2,18,0
371,0,0,1,1,0,3,56,10,0,3,45,1
63,0,0,1,0,0,2,2,2,0,1,31,0
37,0,0,0,0,0,1,0,0,0,4,8,0
64,0,0,0,0,0,3,4,4,0,4,16,1
21,0,0,1,0,0,2,0,0,0,1,20,1
25,0,0,0,0,0,1,0,0,0,2,14,1
28,0,0,0,0,0,2,0,0,0,1,16,0
23,0,0,0,0,0,1,0,0,0,2,14,0
38,0,0,1,0,0,1,4,1,0,3,16,0
36,0,0,0,0,0,1,7,0,0,3,8,0
55,0,0,1,0,0,4,0,0,0,3,24,0
42,0,0,0,0,0,2,0,0,0,3,20,1
36,0,0,0,0,0,1,7,0,0,3,8,0
34,0,0,0,0,0,1,0,0,0,3,9,0
65,0,0,1,0,0,2,5,4,0,1,25,0
66,0,0,0,0,0,1,16,6,0,2,11,1
41,0,0,0,0,0,3,7,0,0,4,16,0
21,0,0,0,0,0,2,3,0,0,1,13,1
24,0,0,0,0,0,1,3,0,0,2,20,1
44,0,0,1,0,0,2,3,3,0,1,19,0
20,0,0,0,0,0,1,4,0,0,2,11,1
43,0,0,1,0,0,2,0,0,0,2,12,0
32,0,0,0,0,0,1,4,0,0,1,24,1
15,0,0,0,0,0,1,0,0,0,1,14,0
62,0,0,0,0,0,5,0,0,0,2,41,0
51,0,0,1,0,0,1,15,0,0,3,12,0
66,0,0,0,0,0,2,16,0,0,2,28,1
33,0,0,0,1,0,3,0,1,0,2,12,1
43,0,0,0,0,0,3,0,0,0,2,14,0
27,0,0,0,0,0,1,0,0,0,2,11,0
33,0,0,0,0,0,2,0,0,0,2,26,1
33,0,0,0,0,0,2,3,0,0,2,13,1
58,0,0,0,0,0,4,2,1,0,4,17,0
58,0,0,1,0,0,2,0,0,0,1,15,0
42,0,0,0,0,0,2,0,0,0,1,21,0
60,0,0,1,0,0,1,1,0,0,2,21,0
52,0,0,1,1,0,3,0,1,0,2,10,1
132,0,0,0,1,0,3,15,8,0,6,12,1
298,0,0,1,1,0,7,90,5,0,2,114,1
32,0,0,0,0,0,2,3,2,0,1,16,0
62,0,1,0,0,0,4,0,2,0,4,14,1
32,0,0,0,0,0,3,1,0,0,1,21,1
25,0,0,0,0,0,1,0,1,0,1,6,0
45,0,0,0,0,0,2,0,1,0,3,20,1
156,0,0,0,0,0,2,21,7,0,2,11,1
82,0,0,1,1,0,7,11,6,0,5,39,1
44,0,0,0,0,0,2,11,0,0,5,8,0
136,0,0,1,1,0,8,8,11,0,5,17,1
19,0,0,0,0,0,1,2,0,0,1,13,1
21,0,0,0,0,1,4,13,0,0,1,13,1
53,0,0,0,0,0,3,3,0,0,3,36,1
76,0,0,0,0,0,2,10,6,0,1,21,0
48,0,0,1,0,0,2,5,0,0,1,25,0
49,0,0,0,0,0,4,3,0,0,3,19,0
32,0,0,0,0,0,3,0,0,0,2,16,0
83,0,0,1,0,0,3,16,0,0,2,49,1
58,0,0,1,0,0,5,0,0,0,4,30,1
35,0,0,0,0,0,2,0,0,0,4,12,1
61,0,0,0,0,0,2,0,3,0,2,16,0
38,0,0,1,0,0,3,3,0,0,1,27,1
43,0,0,1,0,0,3,15,0,0,1,22,1
63,0,0,0,0,0,2,6,0,0,6,16,1
57,0,0,0,0,0,1,22,0,0,4,16,1
64,0,0,1,0,0,1,8,0,0,5,13,0
40,0,0,0,0,0,2,0,0,0,4,9,1
29,0,0,1,0,0,2,5,0,0,1,28,1
44,0,0,0,0,0,1,10,1,0,4,10,0
41,0,0,0,0,0,2,0,0,0,2,16,1
47,0,0,1,0,0,1,1,0,0,3,16,0
41,0,0,0,0,0,2,3,3,0,1,13,0
200,0,0,1,0,0,3,15,2,0,6,28,1
54,0,0,1,1,0,5,0,0,0,4,13,1
38,0,0,0,1,0,3,0,0,0,1,24,1
39,0,0,0,0,0,3,0,0,0,2,17,0
177,0,0,1,1,0,2,61,6,0,3,20,1
51,0,0,0,1,0,5,0,1,0,2,30,1
54,0,0,0,1,1,5,13,0,0,3,13,1
86,0,0,0,0,0,4,7,8,0,2,10,1
17,0,0,0,0,0,1,2,0,0,1,8,1
34,0,0,0,0,0,3,4,2,0,1,16,0
21,0,0,0,0,0,1,0,0,0,2,17,1
30,0,0,0,0,0,2,0,0,0,3,17,0
42,0,0,0,0,0,2,21,0,0,1,17,1
42,0,0,0,0,0,4,0,0,0,3,14,1
59,0,0,0,0,0,1,18,0,0,2,25,1
91,0,0,1,1,0,5,0,4,0,4,18,1
30,0,0,0,0,0,1,0,0,1,4,14,0
43,0,0,0,0,0,2,3,0,1,5,15,1
47,0,0,1,0,0,1,0,0,0,5,16,1
24,0,0,0,0,0,2,2,0,0,1,17,1
130,0,0,0,0,0,8,10,4,0,8,20,1
27,0,0,0,0,0,1,0,1,0,1,6,0
55,0,0,1,1,0,3,4,3,0,4,14,1
12,0,0,0,0,0,1,1,0,0,1,6,1
37,0,0,1,0,0,3,0,0,0,3,22,0
20,0,0,0,0,0,1,0,0,0,1,11,0
63,0,0,1,0,0,1,6,2,0,3,11,0
16,0,0,0,0,0,1,5,0,0,1,10,0
44,0,0,1,0,0,1,2,0,0,3,9,0
102,0,0,1,0,0,2,3,7,0,5,20,1
21,0,0,0,0,0,1,0,0,0,1,20,0
31,0,0,0,0,0,1,3,0,0,4,9,0
29,0,0,1,0,0,1,0,0,0,1,21,1
104,0,0,0,1,0,2,1,0,0,9,17,1
70,0,0,1,0,0,1,7,0,0,2,12,0
